940;0.9;0.89;0.89;0.89;0.89;0.87;0.87;0.86;0.86;0.86
950;0.9;0.89;0.89;0.89;0.89;0.87;0.87;0.86;0.86;0.86
960;0.9;0.89;0.89;0.89;0.89;0.87;0.87;0.87;0.86;0.86
970;0.9;0.89;0.89;0.89;0.89;0.87;0.87;0.87;0.87;0.86
980;0.9;0.89;0.89;0.89;0.89;0.87;0.87;0.87;0.87;0.86
990;0.9;0.89;0.89;0.89;0.89;0.87;0.87;0.87;0.87;0.87
1000;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.88
1010;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.88
1020;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.88
1030;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.88
1040;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.88
1050;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.88
1060;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.88
1070;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1080;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1090;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1100;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1110;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1120;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1130;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1140;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1150;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1160;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1170;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1180;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1190;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1200;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.89
1210;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1220;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1230;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1240;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1250;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1260;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1270;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1280;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1290;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1300;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1310;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1320;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1330;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1340;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1350;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1360;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1370;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1380;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1390;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1400;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1410;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1420;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1430;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1440;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1450;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1460;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1470;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1480;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1490;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
1500;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
