PAR TL208
AZP 208 ; 81
NDA 1
COM ***************** Evaluation Date: 28/07/2010 ****************
COM ===================== Daughter Separator =====================
DAU PB208
DDE 1 ;  ; 16 ; 15
Q   4999 ; 1.7
COM ---------------------- Branch Separator ----------------------
EM  0.00000071 ; 0.00000009 ; 647.162 ; 0.02 ; 3
EN  0.000000216 ; 0.000000027 ; 649.78 ; 0.02 ; 3
GA  0.00128 ; 0.00007 ; 927.64 ; 0.02 ; 2
EK  0.0000227 ; 0.0000013 ; 839.636 ; 0.02 ; 2
EL1 0.00000343 ; 0.00000019 ; 911.779 ; 0.02 ; 2
EL2 0.000000306 ; 0.000000017 ; 912.44 ; 0.02 ; 2
EL3 0.0000000229 ; 0.0000000013 ; 914.605 ; 0.02 ; 2
EM  0.000000876 ; 0.00000005 ; 924.532 ; 0.02 ; 2
EN  0.000000267 ; 0.000000015 ; 927.15 ; 0.02 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3995.438 ; 0.013 ; 7 ;  ;  ; 8
GA  0.00007 ; 0.00003 ; 1380.89 ; 0.02 ; 1
EK  0.00000045 ; 0.00000019 ; 1292.886 ; 0.02 ; 1
EL1 0.000000067 ; 0.000000029 ; 1365.029 ; 0.02 ; 1
EL2 0.0000000055 ; 0.0000000024 ; 1365.69 ; 0.02 ; 1
EL3 0.00000000048 ; 0.0000000002 ; 1367.855 ; 0.02 ; 1
EM  0.000000017 ; 0.000000007 ; 1377.782 ; 0.02 ; 1
EN  0.0000000052 ; 0.0000000022 ; 1380.4 ; 0.02 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3961.162 ; 0.013 ; 21 ;  ;  ; 7
GA  0.0078 ; 0.0002 ; 252.71 ; 0.02 ; 4
EK  0.00386 ; 0.00015 ; 164.706 ; 0.02 ; 4
EL1 0.000594 ; 0.000022 ; 236.849 ; 0.02 ; 4
EL2 0.000102 ; 0.000007 ; 237.51 ; 0.02 ; 4
EL3 0.0000273 ; 0.000004 ; 239.675 ; 0.02 ; 4
EM  0.000172 ; 0.000005 ; 249.602 ; 0.02 ; 4
EN  0.000052 ; 0.0000016 ; 252.22 ; 0.02 ; 4
GA  0.00049 ; 0.00004 ; 486.08 ; 0.02 ; 3
EK  0.0000467 ; 0.0000039 ; 398.076 ; 0.02 ; 3
EL1 0.0000071 ; 0.0000006 ; 470.219 ; 0.02 ; 3
EL2 0.0000007 ; 0.00000006 ; 470.88 ; 0.02 ; 3
EL3 0.0000000498 ; 0.0000000041 ; 473.045 ; 0.02 ; 3
EM  0.00000184 ; 0.00000015 ; 482.972 ; 0.02 ; 3
EN  0.000000561 ; 0.000000047 ; 485.59 ; 0.02 ; 3
GA  0.018 ; 0.0002 ; 763.45 ; 0.02 ; 2
EK  0.000524 ; 0.000009 ; 675.446 ; 0.02 ; 2
EL1 0.0000792 ; 0.0000015 ; 747.589 ; 0.02 ; 2
EL2 0.0000074 ; 0.00000014 ; 748.25 ; 0.02 ; 2
EL3 0.000000558 ; 0.000000012 ; 750.415 ; 0.02 ; 2
EM  0.00002034 ; 0.00000037 ; 760.342 ; 0.02 ; 2
EN  0.0000062 ; 0.00000011 ; 762.96 ; 0.02 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3946.578 ; 0.014 ; 7 ;  ;  ; 6
GA  0.00046 ; 0.00003 ; 748.87 ; 0.02 ; 2
EK  0.0000142 ; 0.000001 ; 660.866 ; 0.02 ; 2
