PAR PA231
AZP 231 ; 91
NDA 1
COM ***************** Evaluation Date: 08/03/2010 ****************
COM ===================== Daughter Separator =====================
DAU AC227
DDE 1 ;  ; 25 ; 23
Q   5149.9 ; 0.8
COM ---------------------- Branch Separator ----------------------
EK  0.00057 ; 0.00015 ; 250.494 ; 0.022 ; 2
EL1 0.000094 ; 0.000024 ; 337.404 ; 0.022 ; 2
EL2 0.000015 ; 0.000005 ; 338.169 ; 0.022 ; 2
EL3 0.0000022 ; 0.0000029 ; 341.38 ; 0.022 ; 2
EM  0.0000267 ; 0.0000036 ; 353.218 ; 0.022 ; 2
EN  0.0000087 ; 0.0000013 ; 356.501 ; 0.022 ; 2
GA  0.000085 ; 0.000003 ; 359.86 ; 0.022 ; 1
GA  0.000003 ; 0.000001 ; 387.23 ; 0.02 ; 0
EK  0.000000129 ; 0.000000043 ; 280.474 ; 0.02 ; 0
EL1 0.000000022 ; 0.000000007 ; 367.384 ; 0.02 ; 0
EL2 0.00000004 ; 0.000000013 ; 368.149 ; 0.02 ; 0
EL3 0.0000000142 ; 0.0000000047 ; 371.36 ; 0.02 ; 0
EM  0.00000002 ; 0.000000007 ; 383.198 ; 0.02 ; 0
EN  0.0000000065 ; 0.0000000022 ; 386.481 ; 0.02 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 354.5 ; 0.04 ; 20 ;  ;  ; 16
GA  0.000049 ; 0.00001 ; 24.46 ; 0.04 ; 15
EL1 0.007 ; 0.0014 ; 4.614 ; 0.04 ; 15
EL2 0.0008 ; 0.00016 ; 5.379 ; 0.04 ; 15
EL3 0.000054 ; 0.000011 ; 8.59 ; 0.04 ; 15
EM  0.00191 ; 0.00039 ; 20.428 ; 0.04 ; 15
EN  0.00062 ; 0.00013 ; 23.711 ; 0.04 ; 15
GA  0.000361 ; 0.000011 ; 327.13 ; 0.04 ; 1
EK  0.00000866 ; 0.0000003 ; 220.374 ; 0.04 ; 1
EL1 0.000001144 ; 0.000000039 ; 307.284 ; 0.04 ; 1
